what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1251998530156
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1251998530265
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1251998530375
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1251998535515
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1251998536000
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1251998536000
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1251998543234
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1251998543234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998561437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998566421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1251998566437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998571640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998624765
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1251998636234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998681218
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998683859
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1251998684906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998686015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998686203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998694906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251998700046
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1251998700515
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1251998700906
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1251998700921
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1251998703781
